bbg_name,isin,ric_attempt,resolution_method
ACWI US,US4642882579,ACWI.P@RIC,rule
ARKG US,US00214Q3020,ARKG.P@RIC,rule
ARKK US,US00214Q1040,ARKK.P@RIC,rule
COPX US,US37954Y8306,COPX.P@RIC,rule
DAXEX GR,DE0005933931,DAXEX.DE@RIC,rule
DBA US,US46140H1068,DBA.P@RIC,rule
DIA US,US78467X1090,DIA.P@RIC,rule
EEM US,US4642872349,EEM.P@RIC,rule
EFA US,US4642874659,EFA.P@RIC,rule
EWG US,US4642868065,EWG.P@RIC,rule
EWJ US,US46434G8226,EWJ.P@RIC,rule
EWP US,US4642867646,EWP.P@RIC,rule
EWQ US,US4642867075,EWQ.P@RIC,rule
EWU US,US46435G3341,EWU.P@RIC,rule
EWW US,US4642868222,EWW.P@RIC,rule
EWZ US,US4642864007,EWZ.P@RIC,rule
FEZ US,US78463X2027,FEZ.P@RIC,rule
FXI US,US4642871846,FXI.P@RIC,rule
GDXJ US,US92189F7915,GDXJ.P@RIC,rule
GDX US,US92189F1066,GDX.P@RIC,rule
GLD US,US78463V1070,GLD.P@RIC,rule
IAK US,US4642887867,IAK.P@RIC,rule
IBIT US,US46438F1012,IBIT.OQ,rule
IGV US,US4642875151,IGV.P@RIC,rule
ILF US,US4642873909,ILF.P@RIC,rule
IWD US,US4642875987,IWD.P@RIC,rule
IWF US,US4642876142,IWF.P@RIC,rule
IWM US,US4642876555,IWM.P@RIC,rule
IWN US,US4642876308,IWN.P@RIC,rule
IYR US,US4642877397,IYR.P@RIC,rule
JETS US,US26922A8421,JETS.P@RIC,rule
KRE US,US78464A6982,KRE.P@RIC,rule
KWEB US,US5007673065,KWEB.P@RIC,rule
MDY US,US78467Y1073,MDY.P@RIC,rule
QQQ US,US46090E1038,QQQ.P@RIC,rule
RSP US,US46137V3574,RSP.P@RIC,rule
SLV US,US46428Q1094,SLV.P@RIC,rule
SMH US,US92189F6768,SMH.P@RIC,rule
SOXX US,US4642875235,SOXX.P@RIC,rule
SPY US,US78462F1030,SPY.P@RIC,rule
TLT US,US4642874329,TLT.P@RIC,rule
TUR US,US4642867158,TUR.P@RIC,rule
UNG US,US9123184098,UNG.P@RIC,rule
USO US,US91232N2071,USO.P@RIC,rule
XBI US,US78464A8707,XBI.P@RIC,rule
XHB US,US78464A8889,XHB.P@RIC,rule
XLB US,US81369Y1001,XLB.P@RIC,rule
XLC US,US81369Y8527,XLC.P@RIC,rule
XLE US,US81369Y5069,XLE.P@RIC,rule
XLF US,US81369Y6059,XLF.P@RIC,rule
XLI US,US81369Y7040,XLI.P@RIC,rule
XLK US,US81369Y8030,XLK.P@RIC,rule
XLP US,US81369Y3080,XLP.P@RIC,rule
XLRE US,US81369Y8600,XLRE.P@RIC,rule
XLU US,US81369Y8865,XLU.P@RIC,rule
XLV US,US81369Y2090,XLV.P@RIC,rule
XLY US,US81369Y4070,XLY.P@RIC,rule
XOP US,US78468R5569,XOP.P@RIC,rule
AS51 AU,AU000000XJO6,.AXJO@RIC,rule
AAPL US,US0378331005,AAPL.OQ,rule
ABBV US,US00287Y1091,ABBV.OQ,rule
ABNB US,US0090661010,ABNB.OQ,rule
ACN US,IE00B4BNMY34,ACN.O@RIC,rule
ADBE US,US00724F1012,ADBE.OQ,rule
ADP US,US0530151036,ADP.OQ,rule
AMD US,US0079031078,AMD.OQ,rule
ADI US,US0326541051,ADI.OQ,rule
ADS.DE DE,DE000A1EWWW0,ADSGn.DE,rule
AEP US,US0255371017,AEP.OQ,rule
AIG US,US0268747849,AIG.O@RIC,rule
ALL US,US0200021014,ALL.O@RIC,rule
ALV.DE DE,DE0008404005,ALV.DE@RIC,rule
AMGN US,US0311621009,AMGN.OQ,rule
AMT US,US03027X1000,AMT.O@RIC,rule
AMZN US,US0231351067,AMZN.OQ,rule
ANTM US,US0367521038,ELV.N,rule
