RIC,Region,Status,Strikes,Expiries,Min Exp,Max Exp,Notes
AAPL.O@RIC,US,OK,5,12,36d,370d,
MSFT.O@RIC,US,OK,5,12,36d,370d,
NVDA.O@RIC,US,OK,5,12,36d,370d,
TSLA.O@RIC,US,OK,5,12,36d,370d,
AMZN.O@RIC,US,OK,5,12,36d,370d,
META.O@RIC,US,OK,5,12,36d,370d,
GOOGL.O@RIC,US,OK,5,12,36d,370d,
JPM.N@RIC,US,OK,5,12,36d,370d,
XOM.N@RIC,US,OK,5,12,36d,370d,
SPY.P@RIC,US,OK,5,12,36d,370d,
SHEL.L@RIC,EU,OK,5,12,36d,370d,
AZN.L@RIC,EU,OK,5,12,36d,370d,
HSBA.L@RIC,EU,OK,5,12,36d,370d,
SAPG.DE@RIC,EU,OK,5,12,36d,370d,
SIEGn.DE@RIC,EU,OK,5,12,36d,370d,
LVMH.PA@RIC,EU,OK,5,12,36d,370d,
MC.PA@RIC,EU,OK,5,12,36d,370d,
ASML.AS@RIC,EU,OK,5,12,36d,370d,
NOVOb.CO@RIC,EU,OK,5,12,36d,370d,
NESN.S@RIC,EU,OK,5,12,36d,370d,
7203.T@RIC,APAC,OK,5,12,36d,370d,
6758.T@RIC,APAC,OK,5,12,36d,370d,
9984.T@RIC,APAC,OK,5,12,36d,370d,
0700.HK@RIC,APAC,OK,5,12,36d,370d,
0941.HK@RIC,APAC,OK,5,12,36d,370d,
9988.HK@RIC,APAC,OK,5,12,36d,370d,
BHP.AX@RIC,APAC,OK,5,12,36d,370d,
CBA.AX@RIC,APAC,OK,5,12,36d,370d,
005930.KS@RIC,APAC,OK,5,12,36d,370d,
000660.KS@RIC,APAC,OK,5,12,36d,370d,
