date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2024-04-03,6M,3M,0.004122934782608695,0.0033479347826086956
2024-04-03,1Y,3M,0.005156240875912408,0.002636970802919708
2024-04-03,1Y,6M,0.005678571428571429,0.0022775824175824176
2024-04-03,2Y,3M,0.006614960876369327,0.002947151799687011
2024-04-03,2Y,6M,0.007034095063985375,0.002879744058500914
2024-04-03,2Y,1Y,0.007710000000000001,0.0031799999999999997
2024-04-10,6M,3M,0.0044107608695652155,0.003625434782608695
2024-04-10,1Y,3M,0.006218503649635037,0.0034294160583941604
2024-04-10,1Y,6M,0.007132307692307694,0.00333032967032967
2024-04-10,2Y,3M,0.007064741784037559,0.0032583881064162756
2024-04-10,2Y,6M,0.00751111517367459,0.0031966544789762343
2024-04-10,2Y,1Y,0.0077,0.0031300000000000004
2024-04-17,6M,3M,0.004567282608695655,0.003731630434782608
2024-04-17,1Y,3M,0.006178102189781022,0.0029859489051094886
2024-04-17,1Y,6M,0.006992362637362636,0.0026090109890109887
2024-04-17,2Y,3M,0.007075978090766824,0.0031025039123630674
2024-04-17,2Y,6M,0.007497915904936016,0.0029966910420475322
2024-04-17,2Y,1Y,0.007750000000000002,0.00319
2024-04-24,6M,3M,0.0046275000000000005,0.0033368478260869566
2024-04-24,1Y,3M,0.006259781021897809,0.0028532481751824814
2024-04-24,1Y,6M,0.007084890109890108,0.0026087912087912083
2024-04-24,2Y,3M,0.007002472613458529,0.0028742410015649457
2024-04-24,2Y,6M,0.007401919561243145,0.002796435100548446
2024-04-24,2Y,1Y,0.007560000000000001,0.00289
2024-05-08,6M,3M,0.00561,0.0033399999999999997
2024-05-08,1Y,3M,0.007222747252747253,0.0033281684981684985
2024-05-08,1Y,6M,0.008042486187845303,0.0033221546961325972
2024-05-08,2Y,3M,0.0074328526645768035,0.0031461442006269595
2024-05-08,2Y,6M,0.007740000000000001,0.0031134798534798534
2024-05-08,2Y,1Y,0.007590000000000001,0.0030099999999999997
2024-05-15,6M,3M,0.0075,0.00488
2024-05-15,1Y,3M,0.007580109890109892,0.0034402197802197803
2024-05-15,1Y,6M,0.007620828729281769,0.002708397790055248
2024-05-15,2Y,3M,0.0077688401253918505,0.0033828840125391855
2024-05-15,2Y,6M,0.007814139194139195,0.0031306227106227113
2024-05-15,2Y,1Y,0.00791,0.0033400000000000005
2024-05-22,6M,3M,0.00712,0.00437
2024-05-22,1Y,3M,0.008301391941391942,0.0037845787545787548
2024-05-22,1Y,6M,0.008901878453038675,0.0034870165745856355
2024-05-22,2Y,3M,0.007888683385579938,0.003318557993730408
2024-05-22,2Y,6M,0.00801820512820513,0.003141391941391942
2024-05-22,2Y,1Y,0.007580000000000001,0.00297
2024-05-29,6M,3M,0.0066300000000000005,0.003699999999999998
2024-05-29,1Y,3M,0.008970622710622711,0.004044981684981685
2024-05-29,1Y,6M,0.010160331491712707,0.004220331491712708
2024-05-29,2Y,3M,0.007991974921630094,0.003218307210031348
2024-05-29,2Y,6M,0.008221465201465201,0.0031371428571428574
2024-05-29,2Y,1Y,0.007259999999999999,0.0026
2024-06-05,6M,3M,0.005974835164835165,0.003045934065934066
2024-06-05,1Y,3M,0.009326593406593408,0.004256263736263736
2024-06-05,1Y,6M,0.01100247252747253,0.004861428571428571
2024-06-05,2Y,3M,0.008315924764890282,0.003514670846394984
2024-06-05,2Y,6M,0.008705393053016453,0.003592650822669104
2024-06-05,2Y,1Y,0.007559999999999999,0.00296
2024-06-12,6M,3M,0.007727032967032967,0.004717472527472529
2024-06-12,1Y,3M,0.01093230769230769,0.005434029304029304
2024-06-12,1Y,6M,0.012534945054945056,0.005792307692307691
2024-06-12,2Y,3M,0.009197523510971787,0.0042303134796238245
2024-06-12,2Y,6M,0.009442157221206582,0.004149268738574039
2024-06-12,2Y,1Y,0.0079,0.0033299999999999996
2024-06-19,6M,3M,0.0069625274725274725,0.00365978021978022
2024-06-19,1Y,3M,0.011486996336996338,0.00548989010989011
2024-06-19,1Y,6M,0.013749230769230769,0.006404945054945054
2024-06-19,2Y,3M,0.00885705329153605,0.003687836990595611
2024-06-19,2Y,6M,0.009172230347349177,0.003692504570383912
2024-06-19,2Y,1Y,0.00689,0.00234
2024-06-26,6M,3M,0.007944615384615385,0.004963186813186813
2024-06-26,1Y,3M,0.011099304029304029,0.0050618681318681325
2024-06-26,1Y,6M,0.012676648351648351,0.005111208791208792
2024-06-26,2Y,3M,0.00841655172413793,0.0033502194357366774
2024-06-26,2Y,6M,0.00849506398537477,0.0030818829981718466
2024-06-26,2Y,1Y,0.006409999999999999,0.00207
2024-07-03,6M,3M,0.0062,0.00327
2024-07-03,1Y,3M,0.00966809523809524,0.003677728937728938
2024-07-03,1Y,6M,0.011430883977900552,0.0038849723756906075
2024-07-03,2Y,3M,0.007895673981191223,0.0028094357366771163
2024-07-03,2Y,6M,0.008181391941391943,0.0027318315018315022
2024-07-03,2Y,1Y,0.006570000000000001,0.0021600000000000005
2024-07-10,6M,3M,0.006760000000000001,0.003999999999999999
2024-07-10,1Y,3M,0.009854285714285716,0.0038742490842490845
2024-07-10,1Y,6M,0.011427071823204422,0.003810331491712707
2024-07-10,2Y,3M,0.007923855799373042,0.002819153605015674
2024-07-10,2Y,6M,0.008119963369963372,0.0026201831501831497
2024-07-10,2Y,1Y,0.00648,0.0020299999999999997
2024-07-17,6M,3M,0.00684,0.00408
2024-07-17,1Y,3M,0.009679816849816851,0.003633479853479854
2024-07-17,1Y,6M,0.011123259668508287,0.0034065193370165746
2024-07-17,2Y,3M,0.008449905956112853,0.0033168338557993736
2024-07-17,2Y,6M,0.008721172161172162,0.0031882417582417585
2024-07-17,2Y,1Y,0.00753,0.0030800000000000003
2024-07-24,6M,3M,0.006809999999999998,0.0041400000000000005
2024-07-24,1Y,3M,0.009944615384615385,0.003921428571428572
2024-07-24,1Y,6M,0.011537900552486187,0.003810331491712707
2024-07-24,2Y,3M,0.008523166144200628,0.0033771159874608154
2024-07-24,2Y,6M,0.008811831501831503,0.0032485714285714292
2024-07-24,2Y,1Y,0.007460000000000001,0.0029700000000000004
2024-07-31,6M,3M,0.007409999999999999,0.0048
2024-07-31,1Y,3M,0.009817985347985348,0.0038823076923076927
2024-07-31,1Y,6M,0.011041933701657458,0.0034158563535911604
2024-07-31,2Y,3M,0.008543354231974921,0.003463354231974921
2024-07-31,2Y,6M,0.008734322344322346,0.0032381318681318685
2024-07-31,2Y,1Y,0.007590000000000001,0.0031499999999999996
2024-08-07,6M,3M,0.007,0.004410000000000001
2024-08-07,1Y,3M,0.00936864468864469,0.0032928571428571434
2024-08-07,1Y,6M,0.010572596685082874,0.0027250276243093925
2024-08-07,2Y,3M,0.00808219435736677,0.0029136363636363635
2024-08-07,2Y,6M,0.008264542124542125,0.0026615018315018315
2024-08-07,2Y,1Y,0.00712,0.00263
2024-08-14,6M,3M,0.00695,0.00505
2024-08-14,1Y,3M,0.009185934065934067,0.003401575091575092
2024-08-14,1Y,6M,0.01032243093922652,0.002563701657458563
2024-08-14,2Y,3M,0.0080841065830721,0.003028808777429467
2024-08-14,2Y,6M,0.008275201465201465,0.0026882417582417585
2024-08-14,2Y,1Y,0.00726,0.0027500000000000003
2024-08-21,6M,3M,0.006399999999999999,0.004509999999999999
2024-08-21,1Y,3M,0.008870329670329672,0.0033035897435897436
2024-08-21,1Y,6M,0.010125966850828729,0.0026903867403314913
2024-08-21,2Y,3M,0.008349529780564262,0.003427398119122257
2024-08-21,2Y,6M,0.008678021978021977,0.0032449816849816847
2024-08-21,2Y,1Y,0.007959999999999998,0.0035199999999999997
2024-08-28,6M,3M,0.006999999999999999,0.00509
2024-08-28,1Y,3M,0.008742820512820514,0.003223040293040293
2024-08-28,1Y,6M,0.009628674033149171,0.0022740883977900544
2024-08-28,2Y,3M,0.008415109717868338,0.0035473981191222574
2024-08-28,2Y,6M,0.008653553113553113,0.0032874725274725275
2024-08-28,2Y,1Y,0.008169999999999998,0.0037900000000000004
2024-09-04,6M,3M,0.007057777777777777,0.005178555555555557
2024-09-04,1Y,3M,0.00922007299270073,0.003829817518248175
2024-09-04,1Y,6M,0.01027771739130435,0.0031701086956521735
2024-09-04,2Y,3M,0.008471752738654147,0.0036185758998435054
2024-09-04,2Y,6M,0.008703551912568308,0.003362841530054645
2024-09-04,2Y,1Y,0.00791,0.00346
2024-09-11,6M,3M,0.0070473333333333325,0.0045963333333333325
2024-09-11,1Y,3M,0.008837153284671532,0.0034100364963503644
2024-09-11,1Y,6M,0.009712608695652176,0.0028297826086956523
2024-09-11,2Y,3M,0.008244726134585288,0.0033471830985915495
2024-09-11,2Y,6M,0.008441020036429872,0.0031424043715847
2024-09-11,2Y,1Y,0.0078,0.0033000000000000004
2024-09-18,6M,3M,0.007200666666666667,0.0047698888888888895
2024-09-18,1Y,3M,0.008893357664233577,0.0036060948905109486
2024-09-18,1Y,6M,0.00972130434782609,0.0030368478260869563
2024-09-18,2Y,3M,0.008034632237871674,0.003208482003129891
2024-09-18,2Y,6M,0.00817134790528233,0.002952513661202186
2024-09-18,2Y,1Y,0.007389999999999999,0.0029100000000000003
2024-09-25,6M,3M,0.007021444444444444,0.004266111111111111
2024-09-25,1Y,3M,0.008426824817518247,0.0031866423357664233
2024-09-25,1Y,6M,0.009114239130434784,0.0026586413043478262
2024-09-25,2Y,3M,0.007965962441314554,0.0032171205007824727
2024-09-25,2Y,6M,0.0081208014571949,0.003045154826958106
2024-09-25,2Y,1Y,0.007620000000000001,0.0032400000000000003
2024-10-02,6M,3M,0.007558222222222223,0.004213777777777779
2024-10-02,1Y,3M,0.008881501831501833,0.00382989010989011
2024-10-02,1Y,6M,0.00953229508196721,0.003641092896174863
2024-10-02,2Y,3M,0.008188401253918497,0.003583949843260188
2024-10-02,2Y,6M,0.008291897810218978,0.003480510948905109
2024-10-02,2Y,1Y,0.0076700000000000015,0.0034
2024-10-09,6M,3M,0.0074860000000000005,0.0035333333333333345
2024-10-09,1Y,3M,0.008810952380952381,0.003752271062271063
2024-10-09,1Y,6M,0.009462568306010928,0.0038599453551912562
2024-10-09,2Y,3M,0.008364169278996867,0.0037395297805642635
