date,maturity,cofDiv100pct,cofDivMarket
2024-04-03,3M,0.01564,0.00297
2024-04-03,6M,0.00985,0.00316
2024-04-03,1Y,0.00777,0.00272
2024-04-03,2Y,0.00774,0.00295
2024-04-10,3M,0.01553,0.00279
2024-04-10,6M,0.00994,0.00321
2024-04-10,1Y,0.00854,0.00327
2024-04-10,2Y,0.00812,0.0032
2024-04-17,3M,0.01505,0.0022
2024-04-17,6M,0.00978,0.00297
2024-04-17,1Y,0.00839,0.00279
2024-04-17,2Y,0.00807,0.00299
2024-04-24,3M,0.01332,0.00276
2024-04-24,6M,0.00895,0.00305
2024-04-24,1Y,0.00802,0.00283
2024-04-24,2Y,0.00779,0.00286
2024-05-08,3M,0.00987,0.00278
2024-05-08,6M,0.00774,0.00306
2024-05-08,1Y,0.00789,0.00319
2024-05-08,2Y,0.00774,0.0031
2024-05-15,3M,0.00754,0.00336
2024-05-15,6M,0.00752,0.00412
2024-05-15,1Y,0.00757,0.00342
2024-05-15,2Y,0.00774,0.00338
2024-05-22,3M,0.00536,0.00333
2024-05-22,6M,0.00624,0.00385
2024-05-22,1Y,0.00756,0.00367
2024-05-22,2Y,0.00757,0.00332
2024-05-29,3M,0.00631,0.00466
2024-05-29,6M,0.00647,0.00418
2024-05-29,1Y,0.0083,0.0042
2024-05-29,2Y,0.00778,0.0034
2024-06-05,3M,0.00692,0.00562
2024-06-05,6M,0.00645,0.00434
2024-06-05,1Y,0.00872,0.0046
2024-06-05,2Y,0.00814,0.00378
2024-06-12,3M,0.00644,0.00518
2024-06-12,6M,0.00708,0.00495
2024-06-12,1Y,0.0098,0.00537
2024-06-12,2Y,0.00885,0.00435
2024-06-19,3M,0.0065,0.00553
2024-06-19,6M,0.00673,0.0046
2024-06-19,1Y,0.01023,0.0055
2024-06-19,2Y,0.00856,0.00392
2024-06-26,3M,0.00527,0.00438
2024-06-26,6M,0.0066,0.00467
2024-06-26,1Y,0.00963,0.00489
2024-06-26,2Y,0.00802,0.00348
2024-07-03,3M,0.00428,0.00329
2024-07-03,6M,0.00524,0.00328
2024-07-03,1Y,0.00831,0.00358
2024-07-03,2Y,0.00744,0.00287
2024-07-10,3M,0.00464,0.00354
2024-07-10,6M,0.0057,0.00377
2024-07-10,1Y,0.00854,0.00379
2024-07-10,2Y,0.00751,0.00291
2024-07-17,3M,0.00488,0.00358
2024-07-17,6M,0.00586,0.00383
2024-07-17,1Y,0.00847,0.00362
2024-07-17,2Y,0.008,0.00335
2024-07-24,3M,0.00461,0.0034
2024-07-24,6M,0.00571,0.00377
2024-07-24,1Y,0.0086,0.00379
2024-07-24,2Y,0.00803,0.00338
2024-07-31,3M,0.00447,0.00304
2024-07-31,6M,0.00594,0.00392
2024-07-31,1Y,0.00847,0.00367
2024-07-31,2Y,0.00803,0.00341
2024-08-07,3M,0.00378,0.00225
2024-08-07,6M,0.00539,0.00333
2024-08-07,1Y,0.00796,0.00303
2024-08-07,2Y,0.00754,0.00283
2024-08-14,3M,0.00337,0.00161
2024-08-14,6M,0.00516,0.00333
2024-08-14,1Y,0.00772,0.00295
2024-08-14,2Y,0.00749,0.00285
2024-08-21,3M,0.0051,0.00321
2024-08-21,6M,0.00575,0.00386
2024-08-21,1Y,0.00792,0.00328
2024-08-21,2Y,0.00794,0.0034
2024-08-28,3M,0.00528,0.00333
2024-08-28,6M,0.00614,0.00421
2024-08-28,1Y,0.00787,0.00325
2024-08-28,2Y,0.00802,0.00352
2024-09-04,3M,0.00565,0.00363
2024-09-04,6M,0.00635,0.0044
2024-09-04,1Y,0.00833,0.00378
2024-09-04,2Y,0.00812,0.00362
2024-09-11,3M,0.00572,0.00345
2024-09-11,6M,0.00638,0.00402
2024-09-11,1Y,0.00806,0.00342
2024-09-11,2Y,0.00793,0.00336
2024-09-18,3M,0.00527,0.00298
2024-09-18,6M,0.00623,0.00387
2024-09-18,1Y,0.00799,0.00345
2024-09-18,2Y,0.00769,0.00318
2024-09-25,3M,0.00495,0.00316
2024-09-25,6M,0.00598,0.00371
2024-09-25,1Y,0.00756,0.00318
2024-09-25,2Y,0.00759,0.00321
2024-10-02,3M,0.0059,0.00387
2024-10-02,6M,0.00672,0.00404
2024-10-02,1Y,0.00813,0.00384
2024-10-02,2Y,0.0079,0.00362
2024-10-09,3M,0.00603,0.00414
2024-10-09,6M,0.00675,0.00384
2024-10-09,1Y,0.00811,0.00385
2024-10-09,2Y,0.00807,0.00379
2024-10-16,3M,0.00648,0.00453
2024-10-16,6M,0.00757,0.00411
2024-10-16,1Y,0.00775,0.00342
2024-10-16,2Y,0.00795,0.00361
2024-10-23,3M,0.00654,0.00444
2024-10-23,6M,0.00778,0.00421
2024-10-23,1Y,0.008,0.00363
2024-10-23,2Y,0.00803,0.00363
2024-10-30,3M,0.00655,0.00497
2024-10-30,6M,0.00815,0.00443
2024-10-30,1Y,0.00794,0.00387
2024-10-30,2Y,0.00801,0.00386
2024-11-06,3M,0.00657,0.00535
2024-11-06,6M,0.00826,0.00451
2024-11-06,1Y,0.00788,0.00388
2024-11-06,2Y,0.008,0.00391
2024-11-13,3M,0.00658,0.00647
2024-11-13,6M,0.00851,0.00514
2024-11-13,1Y,0.00782,0.00433
2024-11-13,2Y,0.00799,0.00439
2024-11-20,3M,0.0066,0.00781
2024-11-20,6M,0.00876,0.00615
2024-11-20,1Y,0.00776,0.0051
2024-11-20,2Y,0.00798,0.005
2024-11-27,3M,0.00661,0.00746
2024-11-27,6M,0.00902,0.00576
2024-11-27,1Y,0.0077,0.00484
2024-11-27,2Y,0.00796,0.00477
2024-12-04,3M,0.00961,0.00755
2024-12-04,6M,0.01193,0.00621
2024-12-04,1Y,0.00963,0.00534
2024-12-04,2Y,0.00959,0.00524
2024-12-11,3M,0.01057,0.00843
2024-12-11,6M,0.01212,0.00589
2024-12-11,1Y,0.00941,0.00513
2024-12-11,2Y,0.00941,0.00507
2024-12-18,3M,0.01078,0.0088
2024-12-18,6M,0.01252,0.00595
2024-12-18,1Y,0.00922,0.00502
2024-12-18,2Y,0.00919,0.00488
2025-01-08,3M,0.00693,0.0034
2025-01-08,6M,0.01093,0.00358
2025-01-08,1Y,0.00776,0.00336
2025-01-08,2Y,0.00802,0.0036
2025-01-15,3M,0.00759,0.00395
2025-01-15,6M,0.00994,0.00263
2025-01-15,1Y,0.00783,0.00345
2025-01-15,2Y,0.00817,0.00378
2025-01-22,3M,0.00814,0.00406
