bbg_name,override_ric,note
0011 HK,0011.HK^A26,verified prompt | verified against LSEG | Hang Seng Bank — note 4-digit zero-padded
AAPL US,AAPL.OQ,verified prompt | verified against LSEG | Apple
ABBV US,ABBV.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
ABI BB,ABI.BR@RIC,AB InBev Brussels - note .BR not .BB
ABNB US,ABNB.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
ADBE US,ADBE.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
ADI US,ADI.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
ADP US,ADP.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
ADS GR,ADSGn.DE@RIC,adidas - uses 'n' suffix for nominative shares in some conventions
ADS.DE DE,ADSGn.DE,verified prompt | verified against LSEG | Input already RIC-shaped; verify it actually resolves.
AEP US,AEP.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
AI FP,AIRP.PA,verified prompt | verified against LSEG | Air Liquide — RIC AIRP.PA
ALV GR,ALVG.DE@RIC,Allianz nominative
AMD US,AMD.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
AMGN US,AMGN.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
AMZN US,AMZN.OQ,trusted unverified prompt override | high-confidence override; not individually verified in this session | Amazon
ANTM US,ELV.N,best guess prompt override | manual override; not LSEG-verified in this session | Anthem rebranded to Elevance Health (ELV) in 2022
ATVI US,ATVI.OQ^J23,"verified prompt | verified against LSEG | Activision Blizzard — acquired by MSFT in 2023, delisted"
AVGO US,AVGO.OQ,unverified rule prompt override | derived from rule; verify before use | BBG suffix rule: US -> .OQ
BA LN,BAES.L,verified prompt | verified against LSEG | Berkshire Hathaway B
BABA US,BABA.N,trusted unverified prompt override | high-confidence override; not individually verified in this session | Alibaba ADR
BAS GR,BASFn.DE@RIC,BASF nominative
BAYN GR,BAYGn.DE@RIC,Bayer
BHP LN,BHPB.L,verified prompt | verified against LSEG | BHP Group — note: London listing was unified into Australian BHP.AX in 2022; check if active.
